Aluminium,Elevation,Nitrogen,Organic Carbon,PH,Soil Moisture,Texture,Variance,Yield,cluster
57,2062,112,6,57,17.35907745,1,0.02453058027,2.087450027,3
47,1249,63,2,60,5.945804596,6,0.01071697846,1.149600029,1
56,1713,87,4,61,15.75392628,1,0.008188261651,1.696550012,2
52,1515,96,4,56,10.63206768,1,0.03940660134,1.365249991,2
57,1915,129,7,55,17.52159691,1,0.2109611332,2.568350077,3
48,657,58,2,66,7.301342487,6,0.01724934764,1.31885004,1
57,1578,80,5,61,17.47557831,1,0.009469733573,1.855149984,2
55,1216,78,4,55,18.79302979,6,0.01351107378,1.738100052,2
47,67,65,2,62,6.391897678,6,0.0264276173,1.362499952,1
54,1197,76,4,56,22.06632042,4,0.02113897912,1.70054996,2
44,8,87,2,60,9.543818474,6,0.01183487941,1.222650051,1
49,385,58,2,69,7.585030556,3,0.02989104576,1.437749982,1
44,1215,50,2,61,4.234931946,6,0.00811145734,1.125450015,1
58,2330,113,5,63,16.18502426,4,0.2020708472,2.259850025,3
45,237,49,2,67,8.001791954,6,0.0272054486,1.125849962,1
46,588,50,2,66,4.880426884,6,0.007862914354,0.8945999742,1
46,2445,128,8,55,14.26134014,4,0.02373914793,2.124150038,3
51,1706,72,2,66,16.55594635,6,0.3998882473,2.605550051,0
47,55,66,2,61,6.394533634,6,0.02962447889,1.627300024,1
47,75,66,2,59,7.281767368,6,0.02028208598,1.319249988,1
59,1387,105,4,55,13.87384796,1,0.03744511306,1.455450058,2
51,2352,117,5,60,10.34131336,4,0.06117295846,1.747650027,3
46,787,57,2,62,5.142932415,6,0.004288882948,0.8903999925,1
46,1081,71,2,65,4.234931946,3,0.006709435489,1.180649996,1
51,1632,73,3,64,6.469658852,4,0.03617419675,1.799649954,4
54,1207,89,3,63,19.79767227,4,0.03646859527,1.520149946,2
57,1833,88,4,59,13.32112122,4,0.00366871967,1.864500046,2
44,664,63,2,60,4.643328667,6,0.01144069992,1.116099954,1
55,1202,77,4,56,22.06632042,4,0.02649802528,1.695500016,2
57,1723,86,5,57,20.11994362,1,0.02307440527,2.003499985,2
56,1365,76,5,53,22.19878006,1,0.01284272503,1.691249967,2
46,710,44,2,68,6.190820217,6,0.02103177458,1.363800049,1
54,1157,75,3,60,20.47533417,4,0.01803282648,1.733800054,2
59,1610,119,5,56,14.75756168,1,0.04610617459,1.303750038,3
58,1297,99,4,55,10.97380257,1,0.05586005747,1.346250057,2
47,1014,61,2,67,6.637675762,6,0.04374877363,1.621549964,1
56,2344,108,4,61,10.34131336,4,0.02471382543,1.667199969,3
53,1145,76,3,63,18.11284447,1,0.02875391953,1.421300054,2
45,1097,71,3,61,4.234931946,3,0.009177862667,1.116950035,4
52,2351,124,5,58,10.34131336,4,0.04519063234,1.757449985,3
48,944,64,2,70,4.874920368,6,0.005148943979,0.9667000175,1
57,1707,105,5,53,22.31351089,4,0.02635937557,1.898000002,2
57,1768,80,5,55,20.11994362,1,0.01232568547,1.878600001,2
55,1195,68,3,63,25.39999962,4,0.02258350514,1.275349975,2
58,2051,112,5,56,20.81811714,4,0.01611141115,1.787050009,3
56,2640,133,9,56,16.18502426,4,0.3640567958,3.498250008,0
45,735,77,2,61,4.643328667,6,0.02271929011,0.8956999779,1
56,1504,82,5,56,11.69568157,1,0.00746570807,1.574149966,2
48,1182,67,2,66,4.530303001,3,0.04251075909,1.416049957,4
56,2422,119,5,57,19.58197975,4,0.4359159172,2.612649918,0
56,1458,68,4,55,22.86232758,1,0.01858939603,1.890499949,2
45,21,65,2,68,5.248128891,9,0.01635846868,1.065649986,1
46,197,50,2,64,5.656566143,6,0.04257401451,1.073950052,1
50,1557,90,2,64,16.17746353,1,0.7383642197,3.478950024,0
58,1440,109,5,57,10.63206768,1,0.04522066191,1.354200006,3
53,1334,77,4,58,25.39999962,4,0.007760118693,1.546599984,2
52,1329,85,4,56,5.56032896,1,0.02641275898,1.278499961,4
49,1895,106,5,57,17.2395401,1,0.01736174151,2.112050056,3
56,2224,133,7,54,17.52159691,1,0.578142345,3.77944994,0
55,1178,92,5,56,18.79302979,1,0.02229327895,1.540699959,2
56,1558,86,4,63,4.53278923,4,0.009637289681,1.195950031,4
57,1675,78,5,54,20.57894135,1,0.02890373021,1.958500028,2
51,1838,71,2,69,4.267194271,4,0.01563325897,1.166849971,4
45,287,50,2,58,6.565292358,9,0.01766965911,1.139999986,1
57,1859,98,5,56,17.35907745,1,0.008870817721,2.102900028,2
42,26,73,3,62,6.372194767,9,0.02018604986,1.359150052,1
46,969,61,2,62,4.854311943,6,0.002584228525,0.9545500278,1
57,1862,107,5,56,16.26383781,1,0.3303430974,2.609649897,0
47,466,52,1,67,7.585030556,6,0.01347369608,1.23269999,1
48,860,70,3,68,5.208451271,4,0.00773265399,1.23664999,1
48,1036,58,2,64,11.05469418,6,0.02270534635,1.246799946,1
56,2598,121,8,57,17.76881218,4,0.4203031659,2.921900034,0
44,832,58,2,67,6.537003994,6,0.01458306704,1.246600032,1
50,1437,67,3,59,7.908875465,3,0.03026332706,1.318099976,4
47,1132,72,3,64,5.945804596,4,0.007646691985,1.271900058,4
48,1550,75,2,66,7.467814445,3,0.01057069656,1.299550056,4
49,1861,85,2,67,8.919608116,4,0.03705841303,1.641950011,4
48,1235,64,3,60,4.643328667,6,0.03078425676,1.130149961,1
50,1300,72,3,64,6.255380154,1,0.02180704847,1.436499953,4
55,1202,81,3,61,18.11284447,4,0.02299517579,1.430950046,2
53,1731,67,2,63,13.32112122,6,0.03880953789,1.74545002,4
51,1074,71,3,63,11.19084549,6,0.05375842005,1.394600034,4
58,2301,125,5,59,9.580809593,1,0.03226404637,1.961650014,3
55,1412,90,5,59,19.61848068,4,0.01864952035,1.376600027,2
47,64,73,2,60,7.281767368,6,0.01307498105,1.365300059,1
56,1756,100,9,57,18.35881233,4,0.01586194336,1.841650009,3
49,32,71,2,66,3.873099566,6,0.03658455983,0.830649972,1
46,16,80,3,60,9.543818474,6,0.007388398983,1.262500048,1
52,1465,83,4,65,13.96080685,4,0.6613502502,3.381649971,0
56,1923,110,6,56,20.53647995,1,0.2669536173,2.845949888,0
52,1978,101,5,62,6.606188297,1,0.03670117632,1.729900002,4
51,1996,95,4,64,16.55594635,1,0.1923260689,3.165549994,4
55,1445,69,3,59,10.89016056,4,0.02414527722,1.358399987,4
47,369,78,2,61,5.36279583,6,0.01959298365,1.120650053,1
56,1250,64,3,57,18.11284447,1,0.03040468693,1.454200029,2
56,1432,80,4,59,10.89016056,4,0.01818052493,1.459050059,2
56,1620,101,6,55,19.75752831,1,0.009669214487,1.650449991,2
48,1216,68,2,64,4.530303001,6,0.02723142691,1.240100026,1
55,2211,122,7,60,10.82009888,1,0.03925699368,1.826550007,3
47,803,56,2,63,4.297014713,6,0.004694028758,1.041599989,1
46,2548,140,19,54,12.78227234,4,0.006502076983,2.019200087,3
55,2129,92,5,59,18.46917534,1,0.3744163513,3.478699923,0
46,1029,74,3,68,4.234931946,4,0.009700088762,1.236449957,1
43,816,66,2,61,4.873876572,6,0.005722631235,0.8889499903,1
44,193,53,2,63,6.774927139,6,0.03070699237,1.346250057,1
45,752,55,2,61,5.142932415,6,0.003504170105,0.9584000111,1
59,1371,103,4,57,13.87384796,1,0.04191185534,1.418099999,2
56,1951,90,4,56,12.68871689,1,0.006242942531,2.021650076,2
47,262,53,2,66,7.74776125,6,0.0193990767,1.132949948,1
46,1204,72,3,69,4.530303001,3,0.01885650121,1.203150034,4
48,1270,71,3,57,10.11738777,3,0.04350682348,1.363999963,4
55,1129,77,3,58,18.45620918,4,0.01438740455,1.546800017,2
50,1256,76,4,69,6.255380154,1,0.03455970064,1.588000059,4
49,1008,64,2,62,5.32907486,3,0.004616716877,0.9797499776,4
45,28,65,2,67,3.873099566,6,0.009186222218,1.035949945,1
55,2022,96,4,62,7.709267139,4,0.01849185489,1.611899972,4
56,2025,94,5,59,18.38701248,1,0.1921833456,2.719799995,2
57,2093,108,5,56,20.53647995,1,0.3396922946,2.972800016,0
44,72,75,3,63,8.313504219,6,0.01942216977,1.508450031,1
43,2807,125,7,57,16.75114441,4,0.01099867467,2.041800022,3
45,661,61,2,65,4.297014713,6,0.002043380868,0.8808500171,1
48,1045,65,2,64,11.05469418,3,0.0128862327,1.276749969,4
47,910,57,2,66,5.726442337,6,0.003554034745,0.9269000292,1
58,2094,120,7,58,18.1607132,4,0.580699861,2.811749935,0
49,1492,80,3,66,16.17746353,1,0.3553035855,2.670799971,0
45,667,57,2,62,4.508432388,6,0.003975114785,0.8273000121,1
50,1972,96,3,68,15.15795326,4,0.01480981987,1.560549974,4
46,980,82,2,70,5.880603313,4,0.1727150381,2.444400072,1
47,1214,62,3,60,4.621278763,6,0.02384624258,1.18264997,1
45,1927,115,6,58,16.75114441,1,0.008611487225,2.027149916,3
58,1743,121,5,56,15.74886227,1,0.08024664968,1.34375,3
47,52,71,2,63,8.570746422,6,0.02768537588,1.301100016,1
54,2156,115,5,61,10.82009888,1,0.0158348009,1.833349943,3
58,2511,131,7,55,11.64798927,4,0.06115474924,1.808599949,3
50,1957,94,3,71,15.15795326,4,0.03164244071,1.587100029,4
54,2251,120,5,61,6.775710106,4,0.02591217868,1.784000039,3
47,691,47,2,69,6.190820217,6,0.007578417659,1.174950004,1
47,96,65,2,62,8.570746422,6,0.0213571433,1.290799975,1
49,513,61,2,68,6.663610458,6,0.01199264266,1.253350019,1
48,679,53,2,71,7.68307972,6,0.02124612406,1.326799989,1
57,1233,86,4,60,13.50076485,1,0.04422080889,1.488549948,2
47,756,57,2,65,7.301342487,6,0.01671626419,1.300400019,1
50,1975,94,3,68,7.801126957,4,0.01916561462,1.619600058,4
46,863,58,2,66,6.846814632,6,0.02843950503,1.383100033,1
55,2041,91,4,57,19.92481995,1,0.4418828189,3.494349957,0
56,1446,67,4,55,22.78585052,1,0.02539613843,1.844099998,2
48,174,54,2,66,7.637937546,6,0.01868024841,1.142850041,1
54,1887,122,7,58,19.73941994,1,0.03766607493,1.890050054,3
56,1241,71,3,58,18.45620918,4,0.03089597635,1.721050024,2
46,187,51,2,64,5.36279583,9,0.01336370688,0.7609500289,1
49,771,57,2,69,6.926978588,9,0.005937142763,1.067499995,1
46,177,56,2,63,6.394533634,6,0.02565624192,1.382400036,1
50,1904,95,2,66,16.04195404,4,0.01007295493,1.649799943,4
44,1086,60,2,61,4.621278763,6,0.02219420299,1.275500059,1
46,1064,78,3,66,6.748383045,1,0.01418124326,0.9041000009,4
46,238,56,2,66,7.74776125,6,0.03088893555,1.145599961,1
49,585,59,2,69,5.502869606,6,0.001232883427,0.9362499714,1
56,2138,103,5,56,19.86532021,1,0.4526591599,3.503099918,0
46,144,50,2,65,8.001791954,6,0.03686704487,1.385650039,1
46,77,72,2,63,0.6350000501,9,0.008583107963,1.366999984,1
48,855,83,2,61,8.634547234,1,0.01576551236,1.278349996,4
46,531,58,2,68,7.766949654,6,0.03801973164,1.315649986,1
46,1029,65,3,61,4.621278763,6,0.009529735893,1.145349979,1
52,1197,76,2,64,14.86999321,4,0.01565793902,1.317749977,4
46,221,66,4,70,7.74776125,6,0.03858466819,1.160899997,1
44,572,65,2,63,5.29102087,6,0.01154879108,1.255599976,1
47,295,64,3,62,5.898396492,6,0.04297794402,1.332949996,1
50,800,65,2,70,7.68307972,1,0.03235039115,1.4648,4
47,661,56,2,66,6.537003994,6,0.007465961855,1.161399961,1
49,77,84,2,58,7.281767368,6,0.0184172336,1.445050001,1
47,1303,57,2,59,7.908875465,6,0.01156688202,1.163699985,1
46,50,73,3,64,3.873099566,6,0.009100059979,1.230700016,1
56,1593,93,6,56,18.14617348,1,0.009439322166,1.580350041,2
46,1054,70,2,63,4.234931946,1,0.007505049463,1.178850055,4
44,852,58,2,62,4.873876572,6,0.005313488655,0.9304000139,1
56,1864,85,5,56,19.92481995,1,0.244905293,2.471800089,2
57,2551,139,7,55,11.64798927,4,0.04423266649,1.718050003,3
49,41,61,2,70,3.873099566,6,0.005004568957,1.025850058,1
54,2337,99,5,61,7.377353191,4,0.03050152957,1.312950015,3
56,1871,104,5,56,17.2395401,1,0.004876218736,1.965149999,2
49,928,55,2,63,6.153415203,6,0.00141554384,1.005949974,1
51,2285,121,5,62,6.775710106,1,0.02748946846,1.822600007,3
47,811,60,2,63,5.208451271,3,0.002976235701,0.9356999993,1
55,1229,70,3,57,22.06632042,6,0.02020558901,1.683300018,2
43,898,59,2,60,4.873876572,6,0.006357649341,0.8886500001,1
54,2625,140,8,61,8.490595818,4,0.04421835765,1.294700027,3
48,677,52,2,68,6.537003994,6,0.008079842664,1.145499945,1
47,17,75,2,58,9.543818474,6,0.01503944956,1.267150044,1
50,796,63,2,64,7.301342487,3,0.01483346708,1.303799987,4
58,1730,90,5,58,20.11994362,1,0.01064988505,1.975550056,2
57,1486,99,5,54,22.41001701,1,0.03728177771,1.903450012,2
49,673,68,2,69,8.173928261,1,0.04017249495,1.47874999,4
54,2325,116,5,61,10.34131336,1,0.02447106503,1.723199964,3
54,2427,131,7,61,16.99972534,4,0.06152076274,1.273550034,3
59,1645,108,6,55,18.14617348,1,0.004276866093,1.580299973,3
52,1012,66,3,63,5.673066616,6,0.01144346129,1.135499954,1
54,1725,79,3,65,18.35881233,3,0.03343105689,1.666100025,4
51,1330,81,4,58,5.276130676,6,0.06251226366,1.693099976,4
55,1928,100,4,64,4.267194271,4,0.02302587591,1.542150021,4
48,1252,64,2,61,10.11738777,6,0.0159462709,1.282549977,1
44,935,65,2,60,5.05257988,6,0.003111311002,0.9034500122,1
49,1041,81,5,63,6.031561852,4,0.01119067334,0.7875999808,4
56,2410,116,5,54,19.58197975,1,0.4019504189,2.638050079,0
45,984,54,2,64,5.912354946,6,0.01467318833,1.17869997,1
56,1238,72,4,54,22.06632042,4,0.009096850641,1.749549985,2
54,1943,112,5,57,12.68871689,1,0.007387915626,2.074199915,3
58,1898,122,6,55,20.81811714,1,0.02045043185,1.475600004,3
46,1138,61,2,69,4.530303001,6,0.03903173283,1.303799987,1
45,893,72,2,60,4.621278763,6,0.02720616758,1.106150031,1
47,872,48,2,66,6.846814632,6,0.01520186942,1.224400043,1
54,1209,78,5,58,21.16743279,3,0.008812247775,1.446249962,2
57,1995,103,5,55,20.53647995,1,0.2340206951,2.692699909,0
55,1383,70,4,58,20.47533417,4,0.04029650614,1.830250025,2
58,1331,91,4,57,10.97380257,1,0.05124754086,1.40715003,2
51,720,74,4,66,11.45661259,4,0.07384391129,1.729900002,4
59,1644,112,5,54,10.97380257,1,0.05835754424,1.41415,3
57,2052,108,7,57,17.35907745,1,0.03411782533,2.056050062,3
58,1541,104,5,56,10.63206768,1,0.0407342799,1.36105001,3
47,643,53,2,68,5.502869606,6,0.001049519749,0.9605000019,1
57,2628,131,7,57,11.64798927,4,0.0610864237,1.493600011,3
59,1855,93,7,56,6.669222355,1,0.04931212962,1.231349945,3
51,1406,86,2,67,16.17746353,4,0.5579664707,3.263250113,0
51,1810,81,4,58,6.495947361,3,0.01535490435,1.223649979,4
45,75,71,2,61,8.570746422,9,0.0249626562,1.368149996,1
52,1814,86,4,63,10.82009888,4,0.259200722,2.943700075,4
44,2294,140,7,58,12.13683319,1,0.004050645512,2.13774991,3
44,218,54,2,64,8.001791954,9,0.01892103814,1.189200044,1
49,1346,51,2,61,5.56032896,6,0.01200275868,1.157349944,1
46,541,63,2,65,4.734521866,6,0.004015637562,0.9024999738,1
56,1838,87,6,59,18.35881233,6,0.0362979956,1.579049945,2
58,1371,120,5,55,13.87384796,1,0.0467444919,1.365450025,3
58,1244,82,4,56,12.91508484,1,0.04975021258,1.35679996,2
46,796,62,2,66,6.190820217,6,0.03108927794,1.43385005,1
46,189,60,2,62,6.394533634,6,0.02615736239,1.457299948,1
56,1512,86,5,55,22.19878006,1,0.03171166778,1.649399996,2
54,1839,97,5,63,8.495018959,1,0.02668384649,1.363100052,4
56,1454,62,4,60,19.73941994,4,0.03783906251,1.866750002,2
55,1850,99,5,57,7.908875465,1,0.02799629234,1.168149948,3
46,22,78,2,69,3.873099566,6,0.006620324682,1.368499994,1
44,189,56,2,65,5.596578121,6,0.03905253112,1.217700005,1
57,1738,79,5,55,20.11994362,1,0.02345871553,1.890349984,2
46,124,53,2,65,5.36279583,9,0.004835754633,0.8377500176,1
57,2120,121,5,59,16.04195404,4,0.0416181311,1.403800011,3
47,132,65,2,64,5.248128891,9,0.02416114323,1.318799973,1
48,1026,57,2,58,5.32907486,3,0.006311248522,0.9134500027,1
49,674,48,2,66,6.190820217,6,0.003819904989,1.101850033,1
49,136,62,2,67,5.36279583,6,0.02427653968,1.183400035,1
44,709,55,2,61,5.086588383,6,0.005504874047,0.7908499837,1
56,2012,103,5,59,13.96080685,1,0.5879914165,3.404150009,0
48,1167,68,2,69,4.530303001,4,0.01886872947,1.403049946,1
59,2025,119,6,55,20.81811714,1,0.013405242,2.005599976,3
