type,ident,Latitude,Longitude,y_proj,x_proj,Area,Area_Acr,Sub_Coun_1,Crop_2022,Qty_tons,Area_ha,yield_t_ha,bgstokgs
TRACK,"232",0.61636436,35.41004164,0.61636436,35.41004164,4825.196,"1",Moiben,Maize,0.900,1.619,0.556,900.000
TRACK,"233",0.61721644,35.43448103,0.61721644,35.43448103,16418.192,"4",Moiben,Maize,1.530,4.047,0.378,1530.000
TRACK,"233",0.61721644,35.43448103,0.61721644,35.43448103,16418.192,"4",Moiben,Maize,1.620,4.047,0.400,1620.000
TRACK,"234",0.61211408,35.44335963,0.61211408,35.44335963,23800.444,"6",Moiben,Maize,2.250,0.809,2.781,2250.000
TRACK,"235",0.61240145,35.45300930,0.61240145,35.45300930,13670.263,"3",Moiben,Maize,1.800,0.405,4.444,1800.000
TRACK,"236",0.63435817,35.44952494,0.63435817,35.44952494,1070.737,"0",Moiben,Maize,2.880,0.809,3.560,2880.000
TRACK,"237",0.62870296,35.42700856,0.62870296,35.42700856,8231.480,"2",Moiben,Maize,0.630,0.283,2.226,630.000
TRACK,"238",0.60740390,35.39524698,0.60740390,35.39524698,3290.483,"1",Moiben,Maize,0.630,0.081,7.778,630.000
TRACK,"239",0.61274201,35.39299332,0.61274201,35.39299332,5627.712,"1",Moiben,Maize,1.980,1.214,1.631,1980.000
TRACK,"240",0.61520182,35.37776500,0.61520182,35.37776500,56703.248,"14",Moiben,Maize,2.160,2.023,1.068,2160.000
TRACK,"241",0.61511367,35.36369151,0.61511367,35.36369151,61867.544,"15",Moiben,Maize,2.700,12.141,0.222,2700.000
TRACK,"242",0.62301837,35.35702094,0.62301837,35.35702094,137510.612,"34",Moiben,Maize,2.700,4.047,0.667,2700.000
TRACK,"243",0.62872260,35.34893480,0.62872260,35.34893480,24485.628,"6",Moiben,Maize,1.350,2.428,0.556,1350.000
TRACK,"245",0.60973991,35.31083688,0.60973991,35.31083688,11137.766,"3",Moiben,Maize,27.000,12.950,2.085,27000.000
TRACK,"246",0.61442387,35.28441449,0.61442387,35.28441449,5629.391,"1",Moiben,Maize,7.200,1.214,5.931,7200.000
TRACK,"248",0.63293769,35.27010118,0.63293769,35.27010118,9313.089,"2",Moiben,Maize,7.200,3.238,2.224,7200.000
TRACK,"249",0.60510667,35.25906913,0.60510667,35.25906913,30153.746,"7",Moiben,Maize,1.350,2.833,0.477,1350.000
TRACK,"250",0.59834691,35.25969198,0.59834691,35.25969198,11017.642,"3",Moiben,Maize,8.640,2.023,4.271,8640.000
TRACK,"252",0.76120596,35.23568826,0.76120596,35.23568826,11671.023,"3",Soy,Maize,2.700,1.214,2.224,2700.000
TRACK,"253",0.74623764,35.23591296,0.74623764,35.23591296,56072.109,"14",Soy,Maize,2.250,2.023,1.112,2250.000
TRACK,"254",0.75665439,35.23156750,0.75665439,35.23156750,4900.810,"1",Soy,Maize,2.070,1.214,1.705,2070.000
TRACK,"256",0.74227949,35.23732233,0.74227949,35.23732233,3962.247,"1",Soy,Maize,2.700,4.047,0.667,2700.000
TRACK,"257",0.74699270,35.24934324,0.74699270,35.24934324,13455.919,"3",Soy,Maize,2.250,2.023,1.112,2250.000
TRACK,"258",0.74636099,35.24547791,0.74636099,35.24547791,22273.813,"6",Soy,Maize,2.250,2.428,0.927,2250.000
TRACK,"259",0.74584774,35.25722653,0.74584774,35.25722653,43154.401,"11",Soy,Maize,2.610,1.619,1.612,2610.000
TRACK,"261",0.76163187,35.25454320,0.76163187,35.25454320,9435.038,"2",Soy,Maize,1.620,0.809,2.002,1620.000
TRACK,"260",0.76008022,35.25761553,0.76008022,35.25761553,7613.730,"2",Soy,Maize,1.620,0.809,2.002,1620.000
TRACK,"263",0.76587003,35.25548658,0.76587003,35.25548658,10145.381,"3",Soy,Maize,2.070,0.809,2.559,2070.000
TRACK,"268",0.77783152,35.25517126,0.77783152,35.25517126,78128.933,"19",Soy,Maize,1.980,2.023,0.979,1980.000
TRACK,"264",0.77616806,35.26029556,0.77616806,35.26029556,42153.310,"10",Soy,Maize,2.340,3.238,0.723,2340.000
TRACK,"269",0.78530821,35.23843141,0.78530821,35.23843141,226495.007,"56",Soy,Maize,2.520,2.023,1.246,2520.000
TRACK,"267",0.78176905,35.24640866,0.78176905,35.24640866,93703.720,"23",Soy,Maize,1.800,4.047,0.445,1800.000
TRACK,"265",0.77345447,35.25958943,0.77345447,35.25958943,27055.632,"7",Soy,Maize,1.800,2.833,0.635,1800.000
TRACK,"266",0.77825964,35.25204296,0.77825964,35.25204296,4557.816,"1",Soy,Maize,1.620,0.405,4.000,1620.000
TRACK,"270",0.79035032,35.23946923,0.79035032,35.23946923,85300.344,"21",Soy,Maize,2.250,3.238,0.695,2250.000
TRACK,"272",0.74936560,35.24705961,0.74936560,35.24705961,29391.183,"7",Soy,Maize,2.250,0.405,5.556,2250.000
TRACK,"273",0.71954719,35.24109020,0.71954719,35.24109020,65694.363,"16",Soy,Maize,2.250,2.023,1.112,2250.000
TRACK,"274",0.73156341,35.24035368,0.73156341,35.24035368,5116.272,"1",Soy,Maize,2.250,1.214,1.853,2250.000
TRACK,"275",0.73967722,35.23670202,0.73967722,35.23670202,3556.414,"1",Soy,Maize,2.700,1.619,1.668,2700.000
TRACK,"276",0.71137886,35.25483721,0.71137886,35.25483721,90619.688,"22",Soy,Maize,2.520,27.519,0.092,2520.000
TRACK,"277",0.72178699,35.25714603,0.72178699,35.25714603,17051.999,"4",Soy,Maize,1.350,3.238,0.417,1350.000
TRACK,"278",0.73518977,35.26319280,0.73518977,35.26319280,10297.430,"3",Soy,Maize,3.150,0.405,7.778,3150.000
TRACK,"279",0.74161026,35.27340579,0.74161026,35.27340579,209143.978,"52",Soy,Maize,3.150,27.519,0.114,3150.000
TRACK,"280",0.75861184,35.29655835,0.75861184,35.29655835,10300.545,"3",Soy,Maize,2.700,1.214,2.224,2700.000
TRACK,"281",0.77244619,35.29105454,0.77244619,35.29105454,124474.388,"31",Soy,Maize,1.800,14.164,0.127,1800.000
TRACK,"282",0.77598294,35.28777159,0.77598294,35.28777159,17124.709,"4",Soy,Maize,1.350,24.282,0.056,1350.000
TRACK,"283",0.78028657,35.27978628,0.78028657,35.27978628,147989.901,"37",Soy,Maize,2.430,2.428,1.001,2430.000
TRACK,"284",0.78243447,35.28122718,0.78243447,35.28122718,20292.058,"5",Soy,Maize,2.970,4.047,0.734,2970.000
TRACK,"285",0.77712889,35.27791284,0.77712889,35.27791284,1372190.987,"339",Soy,Maize,2.430,323.756,0.008,2430.000
TRACK,"287",0.72295323,35.29773157,0.72295323,35.29773157,18339.898,"5",Soy,Maize,1.350,1.214,1.112,1350.000
TRACK,"286",0.72895463,35.29698552,0.72895463,35.29698552,8020.493,"2",Soy,Maize,1.350,0.607,2.224,1350.000
TRACK,"288",0.72454174,35.28865106,0.72454174,35.28865106,19202.472,"5",Soy,Maize,2.520,2.023,1.246,2520.000
TRACK,"289",0.73004142,35.28609527,0.73004142,35.28609527,5300.288,"1",Soy,Maize,2.250,,,2250.000
TRACK,"290",0.73000091,35.27641498,0.73000091,35.27641498,50901.322,"13",Soy,Maize,1.980,0.809,2.447,1980.000
TRACK,"291",0.73189493,35.26883693,0.73189493,35.26883693,75634.668,"19",Soy,Maize,2.520,8.094,0.311,2520.000
TRACK,"292",0.71270355,35.27312225,0.71270355,35.27312225,44798.721,"11",Soy,Maize,1.980,2.833,0.699,1980.000
TRACK,"293",0.71126553,35.28430104,0.71126553,35.28430104,131.764,"0",Soy,Maize,1.710,0.809,2.114,1710.000
TRACK,"294",0.70136974,35.29250170,0.70136974,35.29250170,13826.653,"3",Soy,Maize,1.800,0.607,2.965,1800.000
TRACK,"295",0.69809418,35.29528724,0.69809418,35.29528724,407282.662,"101",Soy,Maize,1.980,7.285,0.272,1980.000
TRACK,"296",0.71305243,35.30097165,0.71305243,35.30097165,86048.456,"21",Soy,Maize,3.600,2.833,1.271,3600.000
