key,COUNTY,Year,Yield,blue,green,red,nir,swir1,swir2,ndvi,savi,evi,gndvi,ndmi,nsi,msavi,gci,gli,sipi,sr,osavi,gci2,arvi2,mtvi2,rdvi,gvi,ndii,ndwi,grvi,lai,tcari,mcari,wdvi,pssra,dvi,era5d_prec,era5_wind,era5m_wind,era5m_prec,era5_mean_temp,era5_min_temp,era5_max_temp,era5m_mean_temp,era5m_min_temp,era5m_max_temp,chirpsd_prec,chirpsm_prec,AREA,temp_MIN,temp_MAX,RANGE,temp_MEAN,temp_STD,temp_SUM,fpar,m_lai,m_gndvi,m_ndvi,m_ndmi,gpp,npp,Tmst_AREA,Tmst_MIN,Tmst_MAX,Tmst_RANGE,Tmst_MEAN,Tmst_STD,Tmst_SUM,Yield2,mod_lst,ggcp10,final_Yld,JoinedYld
2010_KERICHO,KERICHO,2010,2.326199646,11951.07629,12475.37366,12408.78458,19322.30366,15656.76796,12186.16391,0.232746927,0.349114462,-0.955062554,0.228438157,0.107208602,-41.97676313,0.367392091,0.620855922,0.015823014,1.053566229,1.642091223,0.269984968,0.036886192,0.213398875,0.334572924,40.06573921,0.10316436,0.227068051,-0.228438157,1.010186402,0.724078382,20848.62963,0.323141997,13117.91133,0.636613019,6913.519047,0.010925987,-0.569087803,-0.571791425,0.334307373,290.2877906,286.0258212,295.7245905,290.2942871,284.1061837,298.4552365,6.028692752,30.74633386,0.052500002,21.46463966,25.77146912,4.306829453,23.48168546,1.260175429,493.1153946,66.7439101,25.82624313,0.655970893,0.712430606,0.221844079,490.531187,15078.53585,0.047812502,159.6833344,195.5833282,35.8999939,174.0593141,8.763151828,5918.016678,,14815.44361,2.698094308,,2.326199646
2010_KIAMBU,KIAMBU,2010,1.148084464,40761.13078,39770.55829,40505.57426,32026.71042,32362.64307,18212.14194,-0.112537414,-0.168804969,0.558916946,-0.103923828,-0.008506103,-18.79378082,-0.267439035,-0.181333994,-0.010093063,1.003675233,0.805334161,-0.130543115,-0.140814678,-0.109970201,-0.263725787,-30.78504007,-0.050698369,0.269145481,0.103923828,0.982712253,-0.525160364,-25760.29679,-0.196426695,11773.92327,1.243831474,-8478.863882,0.002594678,-1.180322121,-1.181704617,0.079412424,289.6611587,285.9290231,294.1158392,289.6717791,283.5667567,296.6095093,3.179370703,16.23077293,0.075000002,19.56249619,27.51501656,7.95252037,23.92609495,2.159298245,717.7828484,48.98799645,15.56487509,0.57133442,0.560469501,0.113149491,361.9227429,12914.89651,0.071718753,59.81666565,97.16666412,37.34999847,77.00915026,7.564516142,3927.466663,,14845.42393,1.47798065,,1.148084464
2010_KILIFI,KILIFI,2010,1.33383415,22019.2171,21037.69753,21893.46197,21916.82639,18644.54624,14259.17521,0.034256668,0.051383756,0.198969488,0.052454106,0.080152987,11.03084636,0.030926056,0.153373085,-0.017605498,1.082726842,1.116717427,0.039737427,-0.067801168,0.034312528,-0.009055176,3.580621864,0.025311901,0.2082417,-0.052454106,0.9647215,0.005940625,-401.6003388,0.098774182,10970.0954,0.931239788,23.36442109,0.002145406,-0.263349448,-0.262466869,0.065668801,298.8128419,296.0252263,302.6559803,298.8252649,294.9359776,304.7598099,4.237888641,21.63969099,0.485000014,31.88751221,34.80843735,2.92092514,33.35288737,0.731175793,6470.46015,47.7074092,15.14945232,0.555164739,0.556270946,0.107916009,358.1156044,8069.190059,0.49500002,0.0,111.8666611,111.8666611,82.51865499,18.04693894,29046.56656,,15059.08177,2.600500313,,1.33383415
2010_KIRINYAGA,KIRINYAGA,2010,1.676874391,25197.46098,23413.4143,24681.42258,23145.72432,20712.20061,15444.15953,-0.000876511,-0.001315322,1.359728095,0.023412973,0.060189488,-29.26234344,-0.031045671,0.078704692,-0.027866289,0.981401133,1.0314096,-0.00101689,-0.083119386,0.006846952,-0.078941754,-3.658706493,0.015005056,0.195614353,-0.023412973,0.953196194,-0.121171218,-5275.039404,0.070134018,10805.01303,0.978740134,-1535.698259,0.004555614,-0.70267565,-0.702832361,0.139409529,289.0577616,285.820633,293.0371111,289.0680726,283.535427,295.3873664,3.26509849,16.65430509,0.057500002,26.79831505,30.0561142,3.257799149,28.48253375,1.003178996,655.0982761,50.49163982,16.59433705,0.583099156,0.586683662,0.156959386,331.9936628,11350.29129,0.045000002,74.43333435,84.51667023,10.08333588,79.72968793,2.048728614,2551.350014,,14945.34946,1.491620017,,1.676874391
2010_KISII,KISII,2010,1.853504736,14226.89451,14469.44468,14630.44657,19581.70606,16548.20925,12736.42359,0.154997803,0.232493033,11.63454792,0.160199992,0.086527396,-69.27546401,0.259565599,0.402788737,0.002217691,1.11481685,1.388932956,0.179796543,-0.010732069,0.140961049,0.225647412,27.67131104,0.072496108,0.212303794,-0.160199992,0.989637496,0.44278205,14731.81365,0.248940825,12266.48278,0.732256765,4951.2595,0.004293899,-0.721199092,-0.721824661,0.131380969,294.0967097,289.9913808,299.5025293,294.1002492,288.7239192,301.8709361,5.485375576,27.97541593,0.087500003,23.92773438,28.4828701,4.555135727,26.44333147,1.234350436,925.5166016,62.12479112,22.33369414,0.637346857,0.663979677,0.175699543,480.9871073,12939.96569,0.098437504,151.4833374,224.5833282,73.09999084,178.8176185,14.74300478,12517.23329,,14943.80036,2.616013268,,1.853504736
2010_KISUMU,KISUMU,2010,1.310704822,14562.21623,14557.56662,14930.98694,19056.99295,17244.25793,13160.64364,0.13579966,0.203696108,2.767022313,0.146870208,0.052542865,-43.06088207,0.22660605,0.368762807,-0.002903689,1.078747868,1.341289496,0.157526768,-0.021671402,0.120760284,0.185585639,23.64458453,0.064933442,0.183257717,-0.146870208,0.978033589,0.373323169,12118.96661,0.239271863,11591.49949,0.754552731,4126.006007,0.005664484,-0.05170931,-0.051736922,0.173290076,295.5930809,292.6844141,299.4087053,295.5966134,291.5805347,301.5246455,4.991091321,25.45456578,0.047500001,28.28016853,31.22908783,2.948919296,29.9254815,0.853903971,568.5841484,59.1279095,19.41431205,0.593468457,0.625165053,0.128813221,420.3203271,12193.36782,0.049218752,139.3166656,209.1000061,69.78334045,163.9271432,14.51064317,5737.450012,,15022.65855,2.714149696,,1.310704822
2010_KITUI,KITUI,2010,0.359425221,15429.8861,15477.88669,16378.29186,19061.77716,19049.78647,14262.74225,0.104217808,0.156323849,1.77527898,0.131374715,0.00394281,-230.1302217,0.163634477,0.346373884,-0.008946672,0.405286284,1.275974661,0.120891949,-0.046626818,0.070543111,0.102224925,16.91275906,0.046277836,0.142893733,-0.131374715,0.946685567,0.25906003,7441.29441,0.233911881,10872.63161,0.790157362,2683.485851,0.000971335,-1.055039599,-1.05397316,0.029754649,296.7649772,292.6527906,301.7715219,296.7726511,291.0669044,304.335402,1.211335458,6.343768824,1.217500036,26.15190125,35.64277649,9.490875244,31.18651672,1.666456572,15187.83364,37.19474068,10.40058261,0.523516593,0.435752157,-0.027456748,232.7897213,5539.111071,1.21218755,38.21666718,101.6999969,63.48332977,67.43515089,10.86236276,58129.10007,,15190.63167,1.737640122,,0.359425221
2010_KWALE,KWALE,2010,1.12240982,16407.15249,16283.63551,16956.98492,20169.39808,18351.72519,14204.47046,0.110790665,0.166183208,-0.076056441,0.128518584,0.046826807,196.4638511,0.178505563,0.328602653,-0.006626511,1.242405275,1.286292021,0.128516481,-0.037175285,0.090835555,0.129720918,18.96469526,0.052561611,0.171293209,-0.128518584,0.96524681,0.282840625,9201.441202,0.220157975,11690.90563,0.789759493,3212.41316,0.0023217,-0.343084685,-0.342156911,0.071051777,297.779204,294.7344941,301.8782378,297.7919154,293.709118,304.0407813,4.155815872,21.22281097,0.357500011,31.14214325,33.03895569,1.896812439,32.04501863,0.419630774,4582.437664,49.07255677,17.80287148,0.561385329,0.549416551,0.104288538,351.161263,8834.566836,0.146250006,46.86666489,87.08332825,40.21666336,63.21233991,10.53172484,6574.083351,,15054.41021,1.403099909,,1.12240982
2010_LAIKIPIA,LAIKIPIA,2010,1.821758135,13847.03611,13922.33565,14462.81056,19359.60095,16958.11141,13371.59092,0.164686863,0.247026154,0.513042702,0.180588831,0.065185672,6.962248747,0.266594175,0.472312097,-0.002648089,1.260057213,1.433045003,0.191035737,-0.007591403,0.140521819,0.213715535,28.42818691,0.076534777,0.18113907,-0.180588831,0.969180196,0.477837073,14328.22335,0.290377751,12128.19568,0.706502588,4896.790387,0.005124458,-0.741384351,-0.744402105,0.156779357,291.9700516,287.6287147,297.4241681,291.9791206,285.5706573,299.9471915,3.275736819,16.70625803,0.157500005,20.96718788,25.22565842,4.258470535,23.4845819,0.964891547,1479.52866,49.28132631,13.91734512,0.570188977,0.551458414,0.055138107,350.0419813,11184.77983,0.160312507,68.41666412,163.4499969,95.03333282,107.1342109,23.21054232,12213.30004,,14915.19271,1.501523587,,1.821758135
2010_LAMU,LAMU,2010,2.932219765,17843.62575,17233.85801,17738.81251,20605.01877,16457.01344,13028.06879,0.103884956,0.15582475,1.501095988,0.11426219,0.11095353,45.74840479,0.16047831,0.299714675,-0.008494444,1.110367692,1.281644404,0.120505885,-0.031068578,0.102115468,0.12289728,17.42193239,0.055160016,0.223393793,-0.11426219,0.980310816,0.257855772,8326.763136,0.185852555,11735.61255,0.817429964,2866.206302,0.003302976,-0.058746843,-0.058120246,0.101227299,299.4654441,297.2453141,302.4110214,299.4773164,295.9360748,303.832593,4.216203725,23.12033335,0.045000001,33.36830521,33.83292389,0.464618683,33.59284295,0.146329323,604.6711731,57.12097532,20.82367341,0.569420953,0.609259898,0.182766382,375.1657443,7282.660747,0.042187502,0.0,140.0500031,140.0500031,83.83777742,44.81335194,2515.133323,,14973.03031,1.960161654,,2.932219765
